fine_signature,stratum,task_type,complexity,domain,reviewer_model,n,mean_score,mean_workflow_cost,mean_estimated_cost,intervention_rate,success_rate,mean_reviewer_score
feature|c5|frontend,ts_std_large,feature,5.0,frontend,gpt-5.4,1,0.93,12.032790550000001,0.17180510000000002,1.0,1.0,0.92
feature|c5|frontend,ts_std_large,feature,5.0,frontend,gpt-5.5,3,0.48666666666666664,11.59478448,0.1540853666666667,1.0,0.0,0.5466666666666666
feature|c5|frontend,unknown_large,feature,5.0,frontend,gpt-5.5,2,0.55,5.2248359849999995,1.24571195,0.5,0.0,0.525
feature|c5|full-stack,ts_std_large,feature,5.0,full-stack,claude-fable-5,1,0.65,13.055718875,0.46215619999999996,1.0,0.0,0.6
feature|c5|full-stack,ts_std_large,feature,5.0,full-stack,claude-haiku-4-5-20251001,5,0.746,9.0192467,0.9141607199999999,0.8,0.4,0.6639999999999999
feature|c5|full-stack,unknown_large,feature,5.0,full-stack,claude-haiku-4-5-20251001,8,0.69125,11.992836453125,0.5360662,0.75,0.375,0.62625
feature|c5|full-stack,ts_std_large,feature,5.0,full-stack,claude-opus-4-7,21,0.7780952380952381,17.841641480714287,0.36978699047619046,0.6190476190476191,0.6666666666666666,0.6876190476190476
feature|c5|full-stack,unknown_large,feature,5.0,full-stack,claude-opus-4-7,2,0.22499999999999998,17.7097817175,0.32328019999999996,1.0,0.0,0.6
feature|c5|full-stack,ts_std_large,feature,5.0,full-stack,gpt-5.4,1,0.45,17.97678138,0.20253919999999997,1.0,0.0,0.42
feature|c5|full-stack,ts_std_large,feature,5.0,full-stack,gpt-5.5,28,0.8239285714285715,15.137979060000001,0.40711034285714287,0.5357142857142857,0.75,0.7196428571428571
feature|c5|full-stack,unknown_large,feature,5.0,full-stack,gpt-5.5,2,0.595,15.450812357499998,0.30658125,1.0,0.0,0.565
infra|c2|frontend,unknown,infra,2.0,frontend,claude-opus-4-7,1,0.52,8.25184128,0.3529005,1.0,0.0,0.5
infra|c3|data-pipeline,unknown_med,infra,3.0,data-pipeline,claude-haiku-4-5-20251001,1,0.75,12.708777625,0.38720720000000003,1.0,0.0,0.65
infra|c3|full-stack,ts_std_small,infra,3.0,full-stack,gpt-5.6-terra,2,0.915,6.26608875,0.1753816,0.0,1.0,0.85
infra|c4|backend,ts_std_med,infra,4.0,backend,claude-haiku-4-5-20251001,1,0.68,6.72632125,0.2737234,1.0,0.0,0.5
infra|c4|full-stack,unknown_med,infra,4.0,full-stack,claude-haiku-4-5-20251001,1,0.72,8.66929,0.38821779999999995,1.0,0.0,0.82
infra|c4|full-stack,ts_std_med,infra,4.0,full-stack,gpt-5.5,1,0.78,10.335247875,0.8604366,1.0,0.0,0.68
